system:index,cell_id,ndvi,.geo
1139_0,CA_001139,0.8713000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1140_0,CA_001140,0.8825000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1141_0,CA_001141,0.8301000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1142_0,CA_001142,0.3514,"{""type"":""MultiPoint"",""coordinates"":[]}"
1143_0,CA_001143,0.7997000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1144_0,CA_001144,0.6864,"{""type"":""MultiPoint"",""coordinates"":[]}"
1145_0,CA_001145,0.4685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1146_0,CA_001146,0.8484,"{""type"":""MultiPoint"",""coordinates"":[]}"
1147_0,CA_001147,0.8059000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1148_0,CA_001148,0.629,"{""type"":""MultiPoint"",""coordinates"":[]}"
1149_0,CA_001149,0.7789,"{""type"":""MultiPoint"",""coordinates"":[]}"
1150_0,CA_001150,0.8688,"{""type"":""MultiPoint"",""coordinates"":[]}"
1151_0,CA_001151,0.8625,"{""type"":""MultiPoint"",""coordinates"":[]}"
1152_0,CA_001152,0.7939,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153_0,CA_001153,0.7791,"{""type"":""MultiPoint"",""coordinates"":[]}"
1154_0,CA_001154,0.8782000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1155_0,CA_001155,0.8731,"{""type"":""MultiPoint"",""coordinates"":[]}"
1156_0,CA_001156,0.8945000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1157_0,CA_001157,0.8694000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1158_0,CA_001158,0.8540000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159_0,CA_001159,0.8729,"{""type"":""MultiPoint"",""coordinates"":[]}"
1160_0,CA_001160,0.7813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1161_0,CA_001161,0.7508,"{""type"":""MultiPoint"",""coordinates"":[]}"
1162_0,CA_001162,0.6901,"{""type"":""MultiPoint"",""coordinates"":[]}"
1163_0,CA_001163,0.5465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1164_0,CA_001164,0.685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1165_0,CA_001165,0.8136,"{""type"":""MultiPoint"",""coordinates"":[]}"
1236_0,CA_001236,0.8549,"{""type"":""MultiPoint"",""coordinates"":[]}"
1237_0,CA_001237,0.8941,"{""type"":""MultiPoint"",""coordinates"":[]}"
1238_0,CA_001238,0.8949,"{""type"":""MultiPoint"",""coordinates"":[]}"
1239_0,CA_001239,0.8615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1240_0,CA_001240,0.8447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1241_0,CA_001241,0.898,"{""type"":""MultiPoint"",""coordinates"":[]}"
1242_0,CA_001242,0.8639,"{""type"":""MultiPoint"",""coordinates"":[]}"
1243_0,CA_001243,0.9038,"{""type"":""MultiPoint"",""coordinates"":[]}"
1244_0,CA_001244,0.8795000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1245_0,CA_001245,0.7984,"{""type"":""MultiPoint"",""coordinates"":[]}"
1246_0,CA_001246,0.655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1247_0,CA_001247,0.7632,"{""type"":""MultiPoint"",""coordinates"":[]}"
1248_0,CA_001248,0.8098000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1249_0,CA_001249,0.7651,"{""type"":""MultiPoint"",""coordinates"":[]}"
1250_0,CA_001250,0.6078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1251_0,CA_001251,0.8542000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1252_0,CA_001252,0.8122,"{""type"":""MultiPoint"",""coordinates"":[]}"
1253_0,CA_001253,0.6135,"{""type"":""MultiPoint"",""coordinates"":[]}"
1254_0,CA_001254,0.7110000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1255_0,CA_001255,0.7995,"{""type"":""MultiPoint"",""coordinates"":[]}"
1256_0,CA_001256,0.7524000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1257_0,CA_001257,0.6671,"{""type"":""MultiPoint"",""coordinates"":[]}"
1258_0,CA_001258,0.8458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1259_0,CA_001259,0.8737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1260_0,CA_001260,0.8369000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1261_0,CA_001261,0.801,"{""type"":""MultiPoint"",""coordinates"":[]}"
1262_0,CA_001262,0.6959000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1263_0,CA_001263,0.885,"{""type"":""MultiPoint"",""coordinates"":[]}"
1264_0,CA_001264,0.811,"{""type"":""MultiPoint"",""coordinates"":[]}"
1265_0,CA_001265,0.8416,"{""type"":""MultiPoint"",""coordinates"":[]}"
1266_0,CA_001266,0.8304,"{""type"":""MultiPoint"",""coordinates"":[]}"
1267_0,CA_001267,0.7798,"{""type"":""MultiPoint"",""coordinates"":[]}"
1268_0,CA_001268,0.6787000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1269_0,CA_001269,0.5584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1270_0,CA_001270,0.5871000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1271_0,CA_001271,0.8011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1341_0,CA_001341,0.8645,"{""type"":""MultiPoint"",""coordinates"":[]}"
1342_0,CA_001342,0.8882,"{""type"":""MultiPoint"",""coordinates"":[]}"
1343_0,CA_001343,0.8463,"{""type"":""MultiPoint"",""coordinates"":[]}"
1344_0,CA_001344,0.7593000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1345_0,CA_001345,0.7704000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1346_0,CA_001346,0.8208000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1347_0,CA_001347,0.8496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1348_0,CA_001348,0.8704000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1349_0,CA_001349,0.8518,"{""type"":""MultiPoint"",""coordinates"":[]}"
1350_0,CA_001350,0.544,"{""type"":""MultiPoint"",""coordinates"":[]}"
1351_0,CA_001351,0.7196,"{""type"":""MultiPoint"",""coordinates"":[]}"
1352_0,CA_001352,0.7422000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1353_0,CA_001353,0.8195,"{""type"":""MultiPoint"",""coordinates"":[]}"
1354_0,CA_001354,0.6685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1355_0,CA_001355,0.375,"{""type"":""MultiPoint"",""coordinates"":[]}"
1356_0,CA_001356,0.7496,"{""type"":""MultiPoint"",""coordinates"":[]}"
1357_0,CA_001357,0.8285,"{""type"":""MultiPoint"",""coordinates"":[]}"
1358_0,CA_001358,0.7225,"{""type"":""MultiPoint"",""coordinates"":[]}"
1359_0,CA_001359,0.6542,"{""type"":""MultiPoint"",""coordinates"":[]}"
1360_0,CA_001360,0.8619,"{""type"":""MultiPoint"",""coordinates"":[]}"
1361_0,CA_001361,0.7491,"{""type"":""MultiPoint"",""coordinates"":[]}"
1362_0,CA_001362,0.8201,"{""type"":""MultiPoint"",""coordinates"":[]}"
1363_0,CA_001363,0.8032,"{""type"":""MultiPoint"",""coordinates"":[]}"
1364_0,CA_001364,0.6919000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1365_0,CA_001365,0.6842,"{""type"":""MultiPoint"",""coordinates"":[]}"
1366_0,CA_001366,0.7369,"{""type"":""MultiPoint"",""coordinates"":[]}"
1367_0,CA_001367,0.8063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1368_0,CA_001368,0.7447,"{""type"":""MultiPoint"",""coordinates"":[]}"
1369_0,CA_001369,0.6715,"{""type"":""MultiPoint"",""coordinates"":[]}"
1370_0,CA_001370,0.7918000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1371_0,CA_001371,0.7152000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1372_0,CA_001372,0.8106,"{""type"":""MultiPoint"",""coordinates"":[]}"
1373_0,CA_001373,0.8212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1374_0,CA_001374,0.8088000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
